country,year,ai_adoption_consumer,ai_adoption_enterprise,tech_workforce_pct,cloud_infrastructure,ai_policy_score,ai_startups_count,ai_investment_billion_usd,ai_talent_rank,gpu_availability_index,ai_readiness_score,ai_index_score,ai_growth_rate,ai_global_rank
USA,2015,76.34,84.36,8.59,86.1,80.28,6405,192.57,6,84.16,85.16,84.6,0,4
USA,2016,82.53,92.32,18.37,87.59,85.61,5325,168.59,22,97.28,85.09,88.16,0.042080378,2
USA,2017,78.81,89.61,16.44,86.75,86.33,4317,231.99,98,94.75,84.07,86.74,-0.016107078,3
USA,2018,85,92.17,10.5,86.44,87.75,4563,178.51,59,83.57,82.82,89.7,0.034124971,3
USA,2019,84.46,95.81,3.39,85.68,89.52,5495,70.61,104,96.57,83.05,90.06,0.004013378,2
USA,2020,90.59,97.18,11.19,87.46,91.1,6193,82.51,39,88.64,85.82,92.97,0.032311792,2
USA,2021,89.5,96.49,7.02,83.55,85.73,8880,85.92,29,86.75,86.55,91.09,-0.020221577,3
USA,2022,91.83,97.46,12.64,91.54,80.98,7617,42.33,21,97.24,87.5,92.2,0.01218575,3
USA,2023,91.39,100,18.15,88.74,81.81,8837,162.84,107,92.82,85.7,92.7,0.005422993,3
USA,2024,91.06,96.77,14.45,89.82,80.6,7477,82.93,89,93.05,87.16,91.07,-0.017583603,4
USA,2025,88.05,99.86,11.05,87.12,87.65,7066,135.36,3,97.29,83.17,92.72,0.018117931,4
USA,2026,100,100,7.7,91.72,83.96,4836,147.93,12,85.29,86.28,95.16,0.026315789,3
China,2015,90.27,97.32,11.2,100,100,7503,220.03,106,94.57,87.5,96.15,0,1
China,2016,85.48,94.62,4.29,93.47,100,7630,213.79,7,102.72,87.5,92.67,-0.036193448,1
China,2017,93.46,100,17.05,97.55,88.54,8703,134.21,66,97.36,86.52,95.54,0.030970109,1
China,2018,96.55,100,2.83,96.72,88.38,4659,232.63,59,99.67,87.5,96.73,0.012455516,1
China,2019,96.12,100,3.27,98.19,98.04,8372,49.92,47,101.34,87.5,97.81,0.011165099,1
China,2020,94.81,100,4.13,100,100,8707,182.7,34,105.26,87.5,97.3,-0.005214191,1
China,2021,96.69,100,3.86,100,99.42,9977,155.44,47,94.53,87.5,98.32,0.010483042,1
China,2022,100,100,16.25,96.09,98.25,9280,64.18,53,94.92,87.5,98.3,-0.000203417,1
China,2023,100,100,3.53,93.89,98.75,10496,126.57,118,94.41,87.5,98.21,-0.000915565,1
China,2024,100,100,4.12,93.27,89.01,8414,208.51,34,107.61,87.5,97.14,-0.010895021,1
China,2025,100,100,10.18,100,97.6,8280,172.86,114,102.46,87.5,99.01,0.019250566,1
China,2026,100,100,7.57,100,98.63,9430,195,114,99.43,86.27,99.11,0.001009999,1
Germany,2015,77.43,89.34,17.16,84.5,83.7,8476,130.38,103,97.94,86.31,86.18,0,3
Germany,2016,76.95,88.62,8.45,89.05,88.07,4519,169.94,102,96.14,85.71,86.45,0.003132977,3
Germany,2017,82.15,88.1,9.87,83.14,86.84,8835,106.9,75,85.2,87.5,86.79,0.003932909,2
Germany,2018,79.88,88.32,4.32,86.28,81.59,4598,68.61,42,93,85.79,86.65,-0.001613089,5
Germany,2019,82.03,87.87,14.43,87.6,83.46,4114,194.86,110,95.08,84.46,86.82,0.001961916,5
Germany,2020,81.92,91.25,6.54,86.68,89.2,7793,213.54,54,87.03,85.13,88.46,0.018889657,5
Germany,2021,82.86,88.7,10.97,91.9,88.18,4374,143.72,16,92.68,83.84,88.93,0.005313136,5
Germany,2022,88.98,94.7,7.13,84.52,80.4,4846,213.84,117,97.53,86.56,89.56,0.007084224,5
Germany,2023,94.73,100,5.37,88.56,82.19,5666,121.95,73,85.31,84.69,93.59,0.044997767,2
Germany,2024,93.37,98.81,14.27,92.89,90.14,8049,155.13,111,84.86,86.12,94.02,0.004594508,3
Germany,2025,100,100,16.66,90.94,80.45,7531,140.98,98,89.93,87.5,94.54,0.005530738,2
Germany,2026,100,100,18.92,88.43,87.35,7326,104.29,64,85.27,82.54,95.91,0.014491221,2
UK,2015,67.77,78.91,4.29,77.15,70.39,5347,171.35,86,81.87,82.04,78.14,0,9
UK,2016,73.24,84.87,2.33,75.26,76.32,7632,194.52,85,82.83,77.42,80.95,0.035961095,8
UK,2017,72.69,83.56,12.64,74.97,81.78,5355,43.77,40,87.53,79.39,81.49,0.006670784,9
UK,2018,76.63,84.79,18.47,75.14,76.2,5179,134.12,22,79.95,80.13,80.87,-0.007608295,8
UK,2019,78.83,89.08,2.66,75.83,71.8,5707,131.41,63,82.12,85.03,82.76,0.023370842,8
UK,2020,73.54,81.4,2.49,73.98,79.47,4504,74.07,96,77.3,78.34,79.63,-0.037820203,13
UK,2021,77.8,85.58,2.23,80.41,73.12,3847,70.08,51,78.85,83.64,82.15,0.031646364,12
UK,2022,80.93,88.79,15.74,79.25,73.14,4110,183.58,51,81.85,77.97,83.91,0.021424224,9
UK,2023,79.45,88.13,4.12,75.44,69,6209,81.45,25,87.23,82.29,82.15,-0.020974854,12
UK,2024,87.82,99.22,4.99,77.92,76.51,6986,48.59,35,78.18,84.64,87.88,0.069750456,9
UK,2025,86.24,92.74,10.93,74.04,77.65,6307,91.79,87,80.25,83.1,85.63,-0.025603095,13
UK,2026,95.19,100,19.1,77.34,82.49,5582,66.17,96,86.47,83.03,90.28,0.054303398,7
Japan,2015,72.61,82.49,10.54,80.31,86.91,7982,188.91,71,78.5,84.73,82.59,0,6
Japan,2016,74.12,82.9,13.09,85.25,81.73,4796,40.58,63,92.31,83.02,82.68,0.00108972,7
Japan,2017,71.67,82.79,15.28,87.18,78.61,4826,56.15,28,92.16,82.4,82.69,0.000120948,7
Japan,2018,78.44,88.94,10.41,78.24,85.53,6723,66.38,78,80.8,80.99,84.74,0.02479139,6
Japan,2019,76.42,81.82,5.13,87.03,86.26,5623,173.3,27,86.24,85.06,84.55,-0.002242152,7
Japan,2020,79.2,90.42,11.92,86.9,84.48,4057,110.04,60,87.59,82.73,87.15,0.030751035,6
Japan,2021,84.26,95.03,17.82,80.82,80.83,7655,155.25,100,86.62,74.97,88.03,0.010097533,6
Japan,2022,79.34,85.46,7.17,85.52,79.95,6741,213.62,65,88.76,82.74,85.26,-0.031466545,7
Japan,2023,89.01,94.73,14.75,86.71,73.36,3958,141.46,104,88.59,86.69,89.3,0.047384471,6
Japan,2024,87.51,97.29,10.12,81.8,87.3,4445,179.91,81,91.6,83.34,89.59,0.00324748,8
Japan,2025,90.09,97.88,6.14,80.08,78.48,4696,41.8,57,90.37,83.38,90.31,0.008036611,7
Japan,2026,97.28,100,10.67,77.67,81.59,4211,58.81,59,81.38,84.82,92.49,0.024139077,4
South Korea,2015,64.81,71.85,10.65,81.61,81.35,3994,76.98,74,74.8,81.2,77.55,0,10
South Korea,2016,70.07,75.62,16.41,78.62,78.17,4458,63.99,4,82.77,79.37,77.24,-0.003997421,12
South Korea,2017,75.54,86.24,10.14,75.46,77.87,6620,126.49,30,77.94,84.57,82.61,0.069523563,8
South Korea,2018,73.02,81.51,19.55,80.21,73.08,6653,69.58,31,85.56,83.63,80.77,-0.022273333,9
South Korea,2019,73.28,78.56,10.76,83.33,76.23,7741,191.67,109,84.13,79.26,80.67,-0.001238083,10
South Korea,2020,76.16,82.83,6.45,84.37,82.47,7728,112.37,20,78.53,82.69,82.37,0.021073509,10
South Korea,2021,79.28,87.45,8.07,77.02,72.2,7524,109.86,20,85.7,81.16,82.28,-0.001092631,11
South Korea,2022,82.5,93.58,11.56,76.71,73.7,8049,41.68,38,76.88,83.28,84.78,0.030384054,8
South Korea,2023,89.93,98.54,7.54,79.54,71.75,6918,69.98,81,77.31,84.62,88.94,0.049068176,7
South Korea,2024,90.7,100,14.41,83.34,70.11,6781,72.39,13,75.38,82.7,89.76,0.009219699,7
South Korea,2025,86.6,96.77,16.54,83.44,74.56,7199,173.76,65,80.15,83.13,88.14,-0.018048128,11
South Korea,2026,87.82,95.44,13.15,76.93,78.71,5742,100.96,4,80.64,79.55,86.96,-0.013387792,12
Canada,2015,74.15,85.84,18.16,78.19,73.12,4894,205.7,13,82.28,85.7,81.38,0,7
Canada,2016,76,86.02,14.26,80.73,74.83,4577,132.35,31,90.09,79.22,82.77,0.017080364,6
Canada,2017,75.41,86.15,9.4,86.85,76.18,7942,200.77,33,88.02,85.18,83.43,0.007973904,6
Canada,2018,76.34,86.49,13.56,86.63,74.44,6752,136.28,60,88.43,87.5,83.52,0.001078749,7
Canada,2019,81.78,87.68,3.43,79.05,81.68,4087,199.7,43,79.02,86.44,85.53,0.024066092,6
Canada,2020,79.97,88.7,13.91,81.25,83.05,6500,169.85,114,81.02,86.58,85.21,-0.003741377,7
Canada,2021,79.26,88.91,4.74,85.96,76.52,8722,205.69,75,79.92,87.5,86.03,0.009623284,7
Canada,2022,86.44,92.05,10.05,87.37,77.59,6719,130.62,102,79.75,81.33,88.37,0.027199814,6
Canada,2023,86.77,92.34,19.56,82.03,83.43,6925,186.61,58,80.63,85.42,87.74,-0.007129116,8
Canada,2024,85.4,90.58,9.78,79.36,81.25,5243,128.88,26,80.28,82.76,87.42,-0.003647139,10
Canada,2025,94.59,99.99,4.18,84.95,76.59,5200,54.94,119,82.6,82.28,92.57,0.058911004,5
Canada,2026,92.28,100,15.21,79.95,79.22,7581,38.52,31,86.03,81.39,90.59,-0.021389219,6
France,2015,66.34,75.18,4.7,74.73,66.65,4740,152.75,55,84.51,76.24,74.64,0,13
France,2016,70.31,81.19,13.87,70.57,72.1,7343,136.34,18,80.39,76.21,77.58,0.039389068,10
France,2017,67.81,72.89,8.29,79.75,70.48,6793,140.36,79,70.5,74.98,75.3,-0.029389018,12
France,2018,71.02,78.7,13.59,72.24,74.41,5678,39.43,117,81.4,82.58,77.16,0.024701195,12
France,2019,71.44,78.01,18.98,73.9,71.77,4357,52.39,35,82.88,79.18,77.54,0.004924832,13
France,2020,75.29,85.39,19.72,77.95,67.84,7536,39.63,98,82.79,79.47,80.9,0.043332474,11
France,2021,81.27,90.22,4.88,77.07,74.73,5365,34.11,12,73.24,78.76,83.9,0.037082818,8
France,2022,80.77,91.25,15.42,75.72,76.6,4182,188.71,37,75.71,75.75,82.89,-0.012038141,11
France,2023,83.71,91.6,16.3,77.14,74.48,3683,128.44,70,79.23,79.66,83.82,0.011219689,10
France,2024,83.95,89.49,16.2,70.77,76.96,5619,104.32,11,81.22,82.04,83.44,-0.004533524,13
France,2025,92.89,100,12.29,71.37,77.78,5940,62.65,3,77.95,77.53,88.59,0.061720997,9
France,2026,88.51,99.41,4.4,72.04,72.05,3626,151.21,92,72.21,78.93,87.46,-0.01275539,11
Sweden,2015,73.07,84.41,15.98,82.35,86.25,4085,128.67,17,85.06,82.49,82.99,0,5
Sweden,2016,76.06,87.62,19.66,80.38,78.76,5086,159.85,116,81.57,85.54,83.72,0.008796241,5
Sweden,2017,76.63,85.29,14.74,81,85.7,6590,52.72,113,86.79,86.51,84.73,0.012064023,5
Sweden,2018,80.93,91.58,6.66,84.45,86.65,4605,99.22,105,83.44,83.15,86.77,0.024076478,4
Sweden,2019,83.29,92.06,8.85,84.83,84.71,7806,217.92,95,91.82,84.77,87.43,0.007606316,3
Sweden,2020,86.95,97.51,19.7,83.02,88.45,4480,75.23,19,81.11,81.88,90.93,0.040032026,4
Sweden,2021,88.1,99.99,9.69,86.53,77.34,4592,39.79,106,82.67,86.23,90.92,-0.000109975,4
Sweden,2022,91.16,99.45,16.91,88.07,80.22,5499,69.94,29,86.61,87.5,91.81,0.009788825,4
Sweden,2023,93.16,100,7.85,89.65,76.75,7338,50.46,100,90.27,81.13,92.6,0.008604727,4
Sweden,2024,85.34,96.44,18.33,87.51,84.83,7257,142.31,103,94.51,87.5,90.47,-0.02300216,5
Sweden,2025,92.04,99.08,19.33,88.96,86.93,7550,94.46,14,81.3,84.37,93.18,0.029954681,3
Sweden,2026,85.47,92.55,17.34,82.85,75.58,7241,148.44,29,88.6,80.21,87.84,-0.057308435,10
Switzerland,2015,78.31,89.68,11.31,89.53,91.02,6236,100.59,107,92.31,84.1,88.31,0,2
Switzerland,2016,76.69,84.38,15.38,87.71,92.09,6650,162.31,57,86.99,86.61,86.14,-0.024572529,4
Switzerland,2017,80.66,87.63,5.94,84.91,77.92,4091,59.94,62,88.79,82.9,85.91,-0.002670072,4
Switzerland,2018,82.02,93.14,6.95,87.77,92.73,6041,121,73,97.16,85.62,89.82,0.045512746,2
Switzerland,2019,82.14,87.56,10.21,88.87,79.55,5902,62.47,10,92.86,85.21,87.27,-0.028390114,4
Switzerland,2020,85.59,96.98,18.24,88.96,88.7,4253,142.82,36,83.49,86.17,91.7,0.050762003,3
Switzerland,2021,87.13,98.05,7.51,89.76,87.93,8190,125.79,110,91.57,87.5,91.73,0.000327154,2
Switzerland,2022,93.4,99.57,4.78,87.14,91.19,4030,164.59,49,91.92,87.5,93.18,0.01580726,2
Switzerland,2023,89.01,94.99,8.92,87.69,85.42,4104,44.94,90,96.34,86.35,90.27,-0.031229878,5
Switzerland,2024,99.07,100,8.94,92.68,92.25,5746,144.27,91,87.37,87.5,95.86,0.061925335,2
Switzerland,2025,89.81,100,9.99,88.41,86.54,7303,134.05,75,85.86,86,92.42,-0.035885667,6
Switzerland,2026,86.48,98.23,4.35,91.93,85.84,8198,63.21,113,97.55,87.5,92.17,-0.002705042,5
India,2015,65.59,75.92,17.58,76.14,74.66,7981,102.18,114,85.08,75.68,75.96,0,12
India,2016,71.55,80.93,15.01,81.53,74.42,6624,56.24,34,72.4,80.8,79.3,0.043970511,9
India,2017,73.01,83.18,15.84,80.61,69.41,6464,162.48,59,78.38,76.08,79.55,0.003152585,11
India,2018,71.57,77.08,11.01,81.82,71.76,7104,152.55,36,84.32,81.4,78.87,-0.008548083,11
India,2019,74.97,81.55,13.66,78.68,76.32,3942,183.09,75,75.9,80.44,81.51,0.033472803,9
India,2020,81.18,87.18,4.41,80.02,74.72,6328,42.77,61,82.88,81.73,83.45,0.023800761,9
India,2021,83.08,90.6,18.05,74.97,71.97,5406,186.67,82,81.76,76.14,83.75,0.003594967,9
India,2022,72.68,84.45,3.9,79.88,77.81,7045,141.97,60,75.4,82.44,81.95,-0.021492537,13
India,2023,79.07,85.55,14.2,78.84,80.47,6225,83.3,38,82.97,84.22,83.21,0.015375229,11
India,2024,85.46,91.24,8.82,77.43,79.8,4952,36.89,49,72.42,75.66,84.67,0.017545968,11
India,2025,92.16,100,2.31,80,81.91,6990,169.38,35,77.49,85.43,90.27,0.066139128,8
India,2026,75.59,86.52,10.24,72.51,79.02,5237,84.58,58,73.14,83.61,82.13,-0.090173923,13
Brazil,2015,69.32,74.85,13.2,77.51,71.79,7208,133.97,47,79.03,81.98,76.82,0,11
Brazil,2016,70.14,75.57,4.42,75.33,78.32,8059,125.6,10,80.75,84.4,77.21,0.005076803,13
Brazil,2017,71.62,82.53,19.29,83.67,81.66,4391,198.2,68,82.76,75.79,81.31,0.05310193,10
Brazil,2018,74.69,80.83,14,78.62,72.56,4226,131.7,2,77.28,82.99,80.64,-0.008240069,10
Brazil,2019,73.28,78.95,4.13,78.14,76.07,4835,102.91,91,85.17,84.13,79.07,-0.019469246,11
Brazil,2020,83,89.76,5.45,79.5,78.7,7868,51.95,5,78.09,77.26,85.16,0.077020362,8
Brazil,2021,76.96,87.27,18.07,76.68,82.27,5464,168.76,71,86.68,86.87,82.95,-0.025951151,10
Brazil,2022,77,87.85,4.73,77.18,80.42,7664,127.22,16,80.1,75.42,83.51,0.006751055,10
